"nodeid","count"
"91d50f114d8f2c761e67d2687ef389623615ff3b412afd71ce8a187945fcdf30",1440
f15eb171816f5518cd99233276696941de1bd56ac27ee3f391b35866fe3b6d3e,1440
"907876abe786947d6b9bdc319abda69b942264901558d89d5eff1a2687be6e34",1440
"3bdd5ac886224ab91e0b42559e2f7b618f07c5c2ab367750f9fa120e45e30fa4",1440
a4238a8a47d47a9312ea8b041a55e4cb8129c8fcba961ead18fa30549dee012a,1440
c475eb989a029c3a33c91be21a7f5b52c5137dd13cc97867ec4799d2bcc078a6,1440
f78bc57b2781203d48d6e1fe6763d18669e24924d6c7d1071584ddb54932790f,1440
"506037db2d408cd1a74013d765708d22d18889cf4c21ff0cf51a04e1a88f7d44",1440
d4cbd2dc12a70aa3f08910fc0b39ed3ceacdd4fa28aa177e4fe3e91a4adaa80c,1440
"4aa5fac54008e163e995430adab181eeaab46c18e162067bd3f89bd07ac86119",1440
df5b412dac5949c1583ecd6654305f0c0d7b6a34b422f573dc25af586267cf52,1440
"5c83fa5e8c1ec27fc843ebd1fb782282e54804cddcc3301b4a712c3beaa046fb",1440
bee5d100c114af28ef73dfb31cf705f2e269d9a76e08f5e1505486ace8dbe2bd,1440
fdfa24ffbfbc8951cce80623449ccce3aaf082b11bff0d9ef3c49e9e6e4cf56e,1440
"6069820dad88d1b9218b95d311aa13f9c6b60d599cc7bf6d0556418aee0ac29c",1440
"6da51580329de3a6a283b003c314e4a06c52fc0a93a1321d6ccca4e284219edd",1440
"852b065f0a423405829af1af3077f3a3440782d42b87af8fc19acbaa2626e6c0",1440
c3b8764f254e8f891eafb17d6e806271c5248690c2e0095138893eef73cdbc0b,1440
"412bf650236a4f8c2bfc077535c836faa34095bef6a3bbef09b5ec1b85d4a6b2",1440
"65d0ba46fbe09468f3c6bcc5dd4ba542c17b48a6726069c8720a693f4ed5ed8b",1440
c189debdd1e98ad08f7fa667e0a11711c1e5faa300fb9877c6ddae2d998e7e2c,1440
"43b2924861d10c22c3453c6407b9f3cb1b60dcd11b6fa83b5989848dd8731804",1440
"9f90c3b0f0577a7d7539ec795c1088c7de6de2e55b0704ebfc4240d83a613aa4",1440
"68f145a7f261e2c7f2a1fa18f1bd461ea507a89ceacfcafa5a564a8746fb6141",1440
f2f8b1abef68ef91b5f2cf47941d0f75b088d09e71198de59252b3f1fe32e46a,1440
ef10c3d195d341a4e1a1a65bb283aa482530a5bec739dc8f4e7bb65e2a87b547,1440
"4307c65c29434151ce098b4dfa5b1361c5d801c4f1178a825472c9baa13ac78a",1440
b4c4252925cbe1259277559bb36107e70124a0b105eb1bf25a45dcfa2d416999,1440
